City,Pickup Location,Drop Location,Distance (km),Vehicle Type,Estimated Duration (min),Pickup Latitude,Pickup Longitude,Drop Latitude,Drop Longitude,Pickup Area Type,Drop Area Type,Weather Condition,Temperature Level,Rainfall Intensity,Traffic Level,Road Type,Number of Stops Added,Time Slot,Day Type,Holiday,Busy Day,Trip Date,Fare (Target)
Pune,Viman Nagar,Pimpri,150.44,Sedan,429.9,18.5679,73.9143,18.6298,73.7997,Residential,Commercial,Clear,Very Hot,,Moderate,City Road,0.0,Midday,Weekday,No,Normal,8/18/2025,2178
Chennai,Chennai Central Railway Station (nearby),Koyambedu (CMBT) Bus Stand (nearby),380.34,Sedan,497.3,13.0879,80.2578,13.0764,80.1995,Railway Station,Bus Stand,Clear,Pleasant,,Severe,Highway,0.0,Late Night,Weekday,Yes,Public Holiday,4/23/2025,5679
Pune -> Mumbai,Koregaon Park,Shivajinagar Railway Station,293.07,Sedan,769.7,18.5362,73.8938,18.5308,73.8475,Residential,Railway Station,Cloudy,Warm,,Moderate,City Road,4.0,Night,Weekday,Yes,Normal,10/20/2025,4182
Pune -> Mumbai,Fergusson College,Vanaz Metro Station,239.86,Black,306.9,18.5236,73.838,18.5023,73.8074,College,Metro Station,Rain,Pleasant,Light,Severe,Highway,0.0,Midday,Weekday,Yes,Normal,1/10/2025,6811
Pune,Pimpri,Koregaon Park,63.25,Sedan,123.6,18.6298,73.7997,18.5362,73.8938,Commercial,Residential,Clear,Pleasant,,Low,City Road,0.0,Evening,Weekday,No,Normal,12/22/2025,943
Mumbai -> Pune,Powai Tech Park,Shivajinagar Railway Station,63.24,XL,55.7,19.1176,72.906,18.5308,73.8475,IT Park,Railway Station,Clear,Hot,,High,Expressway,0.0,Late Night,Weekday,Yes,Normal,8/11/2025,1721
Pune,Camp (Pune Camp),Magarpatta Cybercity,24.18,Sedan,25.9,18.5122,73.8804,18.5158,73.9291,Commercial,IT Park,Clear,Warm,,Moderate,Highway,2.0,Evening Rush,,No,Normal,8/18/2025,711
Hyderabad,HITEC City,Banjara Hills (nearby),346.6,SUV,681.2,17.4483,78.3915,17.4182,78.4231,IT Park,Residential,Clear,Pleasant,,Low,City Road,3.0,Night,Weekday,Yes,Public Holiday,6/20/2025,6347
Chennai,Chennai International Airport (nearby),T Nagar,240.84,Bike,486.4,12.9908,80.1721,13.0418,80.2341,Airport,Commercial,Rain,Pleasant,Moderate,,City Road,1.0,Late Night,Weekday,No,Normal,8/7/2025,2339
Pune -> Kolhapur,"Swargate Bus Stand, Pune",Kolhapur City Centre,283.52,Auto,196.4,18.5008,73.8577,16.705,74.2433,Commercial,Bus Stand,Clear,Warm,,Moderate,Expressway,2.0,Evening,Weekday,No,Normal,12/1/2025,2993
Bangalore -> Coimbatore,KSR Bangalore City Railway Station,Coimbatore City Centre,9.21,XL,7.1,12.9767,77.5713,11.0168,76.9558,Commercial,Railway Station,Cloudy,Hot,,High,Expressway,0.0,Morning,Weekday,No,Normal,8/6/2025,594
