City,Pickup Location,Drop Location,Distance (km),Vehicle Type,Estimated Duration (min),Pickup Latitude,Pickup Longitude,Drop Latitude,Drop Longitude,Pickup Area Type,Drop Area Type,Weather Condition,Temperature Level,Rainfall Intensity,Traffic Level,Road Type,Number of Stops Added,Time Slot,Day Type,Holiday,Busy Day,Trip Date,Fare (Target)
Pune,Viman Nagar,Pimpri,20.81,Sedan,64.6,18.5679,73.9143,18.6298,73.7997,Residential,Commercial,Clear,Very Hot,,Moderate,City Road,0.0,Midday,Weekday,No,Normal,8/18/2025,749
Chennai,Chennai Central Railway Station (nearby),Koyambedu (CMBT) Bus Stand (nearby),9.58,Sedan,40.8,13.0879,80.2578,13.0764,80.1995,Railway Station,Bus Stand,Clear,Pleasant,,Severe,Highway,0.0,Late Night,Weekday,Yes,Public Holiday,4/23/2025,811
Pune -> Mumbai,Koregaon Park,Shivajinagar Railway Station,5.36,Sedan,15.4,18.5362,73.8938,18.5308,73.8475,Residential,Railway Station,Cloudy,Warm,,Moderate,City Road,4.0,Night,Weekday,Yes,Normal,10/20/2025,30
Pune -> Mumbai,Fergusson College,Vanaz Metro Station,5.0,Black,25.3,18.5236,73.838,18.5023,73.8074,College,Metro Station,Rain,Pleasant,Light,Severe,Highway,0.0,Midday,Weekday,Yes,Normal,1/10/2025,1243
Pune,Pimpri,Koregaon Park,18.14,Sedan,41.8,18.6298,73.7997,18.5362,73.8938,Commercial,Residential,Clear,Pleasant,,Low,City Road,0.0,Evening,Weekday,No,Normal,12/22/2025,30
Mumbai -> Pune,Powai Tech Park,Shivajinagar Railway Station,137.71,XL,446.6,19.1176,72.906,18.5308,73.8475,IT Park,Railway Station,Clear,Hot,,High,Expressway,0.0,Late Night,Weekday,Yes,Normal,8/11/2025,5691
Pune,Camp (Pune Camp),Magarpatta Cybercity,6.45,Sedan,16.4,18.5122,73.8804,18.5158,73.9291,Commercial,IT Park,Clear,Warm,,Moderate,Highway,2.0,Evening Rush,,No,Normal,8/18/2025,30
Hyderabad,HITEC City,Banjara Hills (nearby),5.77,SUV,11.1,17.4483,78.3915,17.4182,78.4231,IT Park,Residential,Clear,Pleasant,,Low,City Road,3.0,Night,Weekday,Yes,Public Holiday,6/20/2025,30
Chennai,Chennai International Airport (nearby),T Nagar,11.43,Bike,26.3,12.9908,80.1721,13.0418,80.2341,Airport,Commercial,Rain,Pleasant,Moderate,,City Road,1.0,Late Night,Weekday,No,Normal,8/7/2025,1338
Pune -> Kolhapur,"Swargate Bus Stand, Pune",Kolhapur City Centre,236.38,Auto,259.7,18.5008,73.8577,16.705,74.2433,Commercial,Bus Stand,Clear,Warm,,Moderate,Expressway,2.0,Evening,Weekday,No,Normal,12/1/2025,2929
Bangalore -> Coimbatore,KSR Bangalore City Railway Station,Coimbatore City Centre,363.93,XL,544.0,12.9767,77.5713,11.0168,76.9558,Commercial,Railway Station,Cloudy,Hot,,High,Expressway,0.0,Morning,Weekday,No,Normal,8/6/2025,12532
Bangalore,Orion Mall,Silk Board Junction,16.43,Auto,52.7,13.0108,77.5551,12.9172,77.6228,Mall,Commercial,Clear,Very Hot,,Moderate,City Road,0.0,Evening,Weekday,No,Normal,7/24/2025,2067
Hyderabad,Warangal City Centre,Jubilee Hills,150.59,SUV,171.7,17.9689,79.5941,17.4326,78.4071,Residential,Residential,Cloudy,Warm,,Moderate,Expressway,2.0,Morning Rush,Weekday,Yes,Normal,9/5/2025,4124
Chennai,Tidel Park,AG-DMS Metro Station,9.0,Mini,27.9,12.9889,80.2437,13.0475,80.2437,IT Park,Metro Station,Clear,Cold,,Moderate,City Road,0.0,Night,Weekend,Yes,Normal,2/15/2025,30
Pune,Wakad,Pune Railway Station,17.76,SUV,54.4,18.598,73.7629,18.5285,73.8744,Residential,Railway Station,Heavy Rain,Cold,Moderate,High,Expressway,0.0,Late Night,Weekday,Yes,Public Holiday,7/1/2025,2584
Chennai,Koyambedu (CMBT) Bus Stand,Express Avenue Mall,10.03,Auto,22.7,13.07,80.1959,13.0594,80.2599,Bus Stand,Mall,Cloudy,Warm,,Low,Expressway,0.0,Morning Rush,Weekday,No,Normal,7/14/2025,320
Mumbai -> Pune,Dadar Railway Station,Baner,143.73,Auto,639.7,19.0186,72.844,18.5596,73.7768,Railway Station,Residential,Clear,Hot,,Severe,Highway,0.0,Night,Weekday,Yes,Normal,10/22/2025,4058
Delhi,Select Citywalk Mall Saket (nearby),New Delhi Railway Station,13.59,SUV,31.3,28.5408,77.233,28.643,77.2194,Mall,Railway Station,Cloudy,Cold,,Moderate,Highway,1.0,Midday,Weekday,Yes,Normal,2/7/2025,30
Hyderabad,HITEC City,Gachibowli IT Park,5.76,Premium,18.4,17.4483,78.3915,17.4401,78.3489,IT Park,IT Park,Rain,Cold,Moderate,High,Highway,3.0,Late Night,Weekday,Yes,Normal,10/15/2025,2304
Delhi,Rohini,Connaught Place,27.9,Sedan,56.9,28.7495,77.0565,28.6315,77.2167,Residential,Commercial,Heavy Rain,Cold,Heavy,Low,City Road,2.0,Late Night,Weekday,No,Normal,2/27/2025,1926
Hyderabad,Banjara Hills (nearby),Gachibowli IT Park (nearby),11.98,Auto,25.9,17.4182,78.4231,17.4298,78.3343,Residential,IT Park,Cloudy,Pleasant,,Low,City Road,2.0,Evening Rush,Weekend,Yes,Normal,10/19/2025,30
Bangalore,Electronic City,Byappanahalli Metro Station,19.71,Mini,56.0,12.8452,77.6602,12.9915,77.6376,IT Park,Metro Station,Rain,Cold,Light,High,City Road,1.0,Night,Weekday,No,Normal,1/8/2025,1383
Pune,Phoenix Marketcity Mall (nearby),Phoenix Marketcity Mall,2.09,Comfort,5.3,18.5544,73.9268,18.561,73.9169,Mall,Mall,Clear,Warm,,Moderate,Highway,1.0,Midday,Weekend,No,Normal,11/9/2025,34
Bangalore,Indiranagar,MG Road Metro Station,4.92,Auto,17.0,12.9719,77.6412,12.9757,77.608,Residential,Metro Station,Cloudy,Pleasant,,High,City Road,0.0,Late Night,Weekend,Yes,Normal,12/27/2025,30
Hyderabad,Gachibowli IT Park,Secunderabad Railway Station,18.91,Mini,23.2,17.4401,78.3489,17.4344,78.5017,IT Park,Railway Station,Fog,Pleasant,,Moderate,Expressway,3.0,Late Night,Weekday,No,Normal,11/20/2025,303
